	Sub.5_F1	Sub.5_F2	Sub.5_F3	Sub.5_S2	Sub.5_S1	Sub.6_F1	Sub.6_F2	Sub.6_F3	Sub.6_S2	Sub.6_S1	Sub.7_F1	Sub.7_F2	Sub.7_F3	Sub.7_S2	Sub.7_S1	Sub.8_F1	Sub.8_F2	Sub.8_F3	Sub.8_S2	Sub.8_S1	Sub.1_F1	Sub.1_F2	Sub.1_F3	Sub.1_S2	Sub.1_S1	Sub.2_F1	Sub.2_F2	Sub.2_F3	Sub.2_S2	Sub.2_S1	Sub.3_F1	Sub.3_F2	Sub.3_F3	Sub.3_S2	Sub.3_S1	Sub.4_F1	Sub.4_F2	Sub.4_F3	Sub.4_S2	Sub.4_S1
g__Peptoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	6	0	0	0	2	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0
g__Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__ph2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g__Phascolarctobacterium	0	4	0	0	0	0	0	0	0	0	418	1479	338	86	24	0	0	0	0	0	0	0	0	0	0	0	0	0	38	212	0	1	0	0	0	1	0	1	0	0
g__Porphyromonas	0	0	0	1	35	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	9	24
g__Prevotella	1	0	1	0	0	1	0	2	0	0	0	0	5	4	2	0	2	2	9	21	0	0	0	0	3	485	34	569	41	244	56	2	90	73	350	0	2	0	0	0
g__Pseudobutyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Pseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g__Pseudoramibacter_Eubacterium	0	1	1	1	4	0	0	0	0	0	0	0	0	0	0	92	144	130	7	14	0	0	1	0	1	0	0	1	0	0	192	133	97	13	56	13	75	125	14	58
g__Pyramidobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
g__rc4-4	1	1	1	2	2	45	63	31	16	40	0	0	1	0	0	94	218	143	5	25	0	0	0	0	0	0	0	0	2	3	0	0	0	4	4	1	0	0	0	0
g__Rhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g__Rhodococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Rikenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Robinsoniella	0	0	0	0	0	11	21	23	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Roseburia	62	16	71	131	366	0	0	0	53	171	52	42	58	1149	998	795	397	97	243	1219	0	1	0	420	1961	197	35	54	1468	5869	219	1	178	74	463	0	0	0	2	1
g__Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	10	0	0	0	0	2	0	0	0	0	2
g__Ruminococcus	756	634	661	3522	11950	207	244	141	2622	6819	930	1868	681	7223	6819	514	872	653	1208	6801	4103	2144	1081	11823	39973	6230	1999	3154	6700	46978	482	256	285	7835	44762	393	1155	3551	520	2546
g__Scardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
g__Selenomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g__Shigella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	11	13	284	1530	0	0	0	1	1	0	0	0	0	0
g__SMB53	0	0	0	35	11	0	0	0	0	2	0	0	0	2	1	0	0	0	4	15	0	0	0	2	5	0	0	1	171	1377	0	0	0	44	194	0	0	0	0	0
